pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0000,orig,A,-0.3347,-1.8347,-2.0847,779,195
p0000,swap,A,-0.2753,-1.9003,-2.4003,779,122
p0001,orig,A,-0.6660,-1.4160,-1.4160,872,161
p0001,swap,A,-0.4374,-1.5624,-1.9374,872,137
p0002,orig,A,-0.5518,-1.5518,-1.5518,1119,204
p0002,swap,A,-0.4371,-1.9371,-1.5621,1119,186
p0003,orig,A,-0.4661,-2.2161,-1.3411,1537,307
p0003,swap,A,-0.7053,-1.5803,-1.2053,1537,288
p0004,orig,A,-0.5240,-1.1490,-2.3990,1316,253
p0004,swap,A,-0.3072,-1.8072,-2.3072,1316,232
p0005,orig,A,-0.1923,-2.4423,-2.4423,393,267
p0005,swap,A,-0.1620,-2.5370,-2.6620,393,59
p0006,orig,A,-0.2280,-1.9780,-2.7280,609,105
p0006,swap,A,-0.3350,-1.8350,-2.0850,609,91
p0007,orig,A,-0.2030,-2.3280,-2.4530,728,127
p0007,swap,A,-0.2831,-2.0331,-2.1581,728,111
p0008,orig,A,-0.2875,-2.2875,-1.9125,598,109
p0008,swap,A,-0.2031,-2.4531,-2.3281,598,90
p0009,orig,A,-0.2832,-2.0332,-2.1582,673,119
p0009,swap,A,-0.2415,-2.1165,-2.3665,673,101
p0010,orig,A,-0.1941,-2.5691,-2.3191,731,128
p0010,swap,A,-0.1654,-2.7904,-2.4154,731,112
p0011,orig,A,-0.3927,-1.8927,-1.7677,817,330
p0011,swap,A,-0.2169,-2.2169,-2.4669,817,130
p0012,orig,A,-0.2725,-2.2725,-2.0225,643,109
p0012,swap,A,-0.2611,-2.3861,-2.0111,643,97
p0013,orig,A,-0.4256,-2.0506,-1.5506,860,150
p0013,swap,A,-0.5200,-1.8950,-1.3950,860,136
p0014,orig,A,-0.3004,-1.9254,-2.1754,755,132
p0014,swap,A,-0.3197,-1.8197,-2.1947,755,115
p0015,orig,A,-0.3006,-1.9256,-2.1756,846,147
p0015,swap,A,-0.3726,-1.7476,-1.9976,846,135
p0016,orig,A,-0.2281,-1.9781,-2.7281,1306,245
p0016,swap,A,-0.3005,-1.9255,-2.1755,1306,231
p0017,orig,A,-0.7461,-1.8711,-0.9961,588,105
p0017,swap,A,-0.5357,-1.7857,-1.4107,588,89
p0018,orig,C,-1.0226,-1.7726,-0.7726,536,202
p0018,swap,A,-0.7964,-1.9214,-0.9214,536,77
p0019,orig,A,-0.8381,-1.7131,-0.9631,696,118
p0019,swap,A,-0.6225,-1.7475,-1.2475,696,102
p0020,orig,A,-0.7017,-1.8267,-1.0767,585,152
p0020,swap,A,-0.8900,-1.7650,-0.8900,585,88
p0021,orig,A,-0.5343,-1.7843,-1.4093,566,92
p0021,swap,C,-0.9661,-1.7161,-0.8411,566,82
p0022,orig,A,-0.7504,-2.2504,-0.8754,511,127
p0022,swap,A,-0.7338,-1.9838,-0.9838,511,72
p0023,orig,C,-0.8791,-2.2541,-0.7541,460,79
p0023,swap,A,-0.7573,-2.2573,-0.8823,460,67
p0024,orig,A,-0.8017,-1.9267,-0.9267,610,104
p0024,swap,A,-0.7300,-1.9800,-0.9800,610,92
p0025,orig,A,-0.7323,-1.9823,-0.9823,633,112
p0025,swap,A,-0.7472,-1.8722,-0.9972,633,94
p0026,orig,A,-0.8652,-1.8652,-0.8652,619,107
p0026,swap,A,-0.8158,-1.8158,-0.9408,619,92
p0027,orig,A,-0.6611,-1.7861,-1.1611,511,72
p0027,swap,A,-0.3170,-2.0670,-1.9420,511,72
p0028,orig,A,-0.3559,-1.7309,-2.1059,1323,254
p0028,swap,A,-0.2417,-2.1167,-2.3667,1323,235
p0029,orig,A,-0.3083,-1.8083,-2.3083,1198,217
p0029,swap,A,-0.2036,-2.3286,-2.4536,1198,205
p0030,orig,A,-0.3526,-1.6026,-2.3526,1292,238
p0030,swap,A,-0.3415,-1.7165,-2.2165,1292,226
p0031,orig,A,-0.3433,-2.2183,-1.7183,531,91
p0031,swap,A,-0.3676,-2.2426,-1.6176,531,77
p0032,orig,A,-0.2495,-2.4995,-1.9995,431,76
p0032,swap,A,-0.1664,-2.4164,-2.7914,431,63
p0033,orig,A,-0.2559,-2.1309,-2.2559,487,82
p0033,swap,A,-0.2049,-2.3299,-2.4549,487,70
p0034,orig,A,-0.4394,-2.1894,-1.4394,438,77
p0034,swap,A,-0.3966,-2.2716,-1.5216,438,64
p0035,orig,A,-0.2496,-2.4996,-1.9996,402,72
p0035,swap,A,-0.3743,-1.8743,-1.8743,402,61
p0036,orig,A,-0.3700,-1.8700,-1.8700,443,75
p0036,swap,A,-0.3799,-2.1299,-1.6299,443,64
p0037,orig,A,-0.5344,-1.7844,-1.4094,480,222
p0037,swap,A,-0.3726,-1.9976,-1.7476,480,69
p0038,orig,A,-0.3982,-1.3982,-2.5232,494,82
p0038,swap,A,-0.4489,-1.4489,-2.0739,494,70
p0039,orig,A,-0.2428,-2.3678,-2.1178,420,74
