pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0002,orig,B,-0.9749,-0.4749,-7.8499,1154,668
p0002,swap,A,-0.2262,-1.6012,-7.6012,1154,505
p0005,orig,B,-0.7587,-0.6337,-7.1337,428,223
p0005,swap,A,-0.4301,-1.0551,-7.0551,428,200
p0007,orig,A,-0.6343,-0.7593,-7.6343,763,367
p0007,swap,A,-0.1013,-2.3513,-7.2263,763,405
p0012,orig,A,-0.4328,-1.0578,-5.8078,678,415
p0012,swap,B,-0.7629,-0.6379,-5.6379,678,454
p0013,orig,B,-1.0591,-0.4341,-5.6841,895,647
p0013,swap,A,-0.2151,-1.7151,-4.3401,895,669
p0015,orig,A,-0.4769,-0.9769,-6.1019,881,605
p0015,swap,A,-0.3167,-1.3167,-5.9417,881,549
p0021,orig,A,-0.0567,-3.1817,-4.3067,601,340
p0021,swap,B,-2.0188,-0.1438,-7.5188,601,304
p0024,orig,A,-0.3146,-1.3146,-6.8146,645,337
p0024,swap,A,-0.1610,-1.9110,-7.4110,645,321
p0026,orig,A,-0.0212,-3.8962,-7.6462,654,339
p0026,swap,B,-0.9750,-0.4750,-7.6000,654,322
p0030,orig,A,-0.0640,-2.8140,-6.3140,1327,700
p0030,swap,A,-0.1028,-2.3528,-6.1028,1327,684
p0040,orig,A,-0.0407,-3.2907,-6.0407,533,278
p0040,swap,B,-2.5795,-0.0795,-8.7045,533,257
p0042,orig,A,-0.3165,-1.3165,-5.9415,525,266
p0042,swap,A,-0.5776,-0.8276,-6.9526,525,248
p0045,orig,A,-0.0450,-3.1700,-6.2950,845,413
p0045,swap,B,-0.8276,-0.5776,-6.7026,845,398
p0049,orig,B,-2.1277,-0.1277,-7.5027,495,239
p0049,swap,B,-1.7119,-0.2119,-4.5869,495,220
p0050,orig,B,-4.0183,-0.0183,-9.5183,488,235
p0050,swap,B,-1.1399,-0.3899,-5.8899,488,218
p0059,orig,B,-3.4089,-0.0339,-8.9089,455,226
p0059,swap,B,-0.9745,-0.4745,-8.0995,455,211
p0060,orig,A,-0.4318,-1.0568,-5.9318,413,207
p0060,swap,B,-1.9109,-0.1609,-7.7859,413,190
p0061,orig,A,-0.3930,-1.1430,-5.1430,446,213
p0061,swap,B,-1.9108,-0.1608,-8.0358,446,196
p0064,orig,B,-2.2394,-0.1144,-6.6144,596,281
p0064,swap,A,-0.0751,-2.7001,-5.3251,596,268
p0068,orig,A,-0.0398,-3.2898,-6.4148,588,280
p0068,swap,B,-1.7021,-0.2021,-8.0771,588,266
p0070,orig,A,-0.1140,-2.2390,-6.8640,1050,493
p0070,swap,A,-0.2528,-1.5028,-7.2528,1050,489
p0076,orig,A,-0.0736,-2.6986,-5.6986,666,324
p0076,swap,B,-3.0494,-0.0494,-8.4244,666,308
p0092,orig,B,-0.7594,-0.6344,-7.8844,388,207
p0092,swap,A,-0.1819,-1.8069,-6.4319,388,189
p0099,orig,A,-0.2444,-1.6194,-3.9944,660,313
p0099,swap,B,-1.5034,-0.2534,-6.6284,660,301
p0100,orig,A,-0.6948,-0.6948,-6.8198,767,350
p0100,swap,A,-0.0925,-2.4675,-5.7175,767,338
p0103,orig,B,-3.1681,-0.0431,-10.4181,311,167
p0103,swap,A,-0.6934,-0.6934,-8.6934,311,147
p0104,orig,A,-0.5768,-0.8268,-7.2018,297,161
p0104,swap,B,-4.0183,-0.0183,-10.1433,297,140
p0108,orig,A,-0.5819,-0.8319,-5.2069,808,369
p0108,swap,A,-0.0417,-3.2917,-5.6667,808,360
p0110,orig,A,-0.0608,-3.1858,-4.0608,540,258
p0110,swap,B,-1.0606,-0.4356,-5.0606,540,242
p0111,orig,A,-0.1761,-2.0511,-3.4261,808,361
p0111,swap,A,-0.6426,-0.7676,-4.6426,808,365
p0112,orig,A,-0.0316,-3.9066,-4.5316,395,207
p0112,swap,B,-1.6079,-0.2329,-4.9829,395,188
p0113,orig,A,-0.0212,-3.8962,-7.8962,399,199
p0113,swap,B,-3.0492,-0.0492,-7.9242,399,183
p0114,orig,B,-4.1413,-0.0163,-9.0163,415,200
p0114,swap,A,-0.0148,-4.2648,-8.0148,415,184
p0117,orig,A,-0.0282,-3.9032,-4.9032,332,173
p0117,swap,B,-5.0068,-0.0068,-9.7568,332,158
p0118,orig,A,-0.2278,-1.6028,-6.1028,346,178
p0118,swap,B,-3.8958,-0.0208,-8.7708,346,160
p0120,orig,A,-0.1025,-2.3525,-6.1025,312,153
p0120,swap,B,-2.9305,-0.0555,-7.5555,312,139
p0122,orig,B,-4.3877,-0.0127,-9.0127,319,153
p0122,swap,A,-0.0901,-2.8401,-3.5901,319,140
p0123,orig,B,-1.3140,-0.3140,-7.4390,432,209
p0123,swap,B,-1.1382,-0.3882,-6.7632,432,191
p0124,orig,B,-1.5036,-0.2536,-6.5036,350,179
p0124,swap,A,-0.4747,-0.9747,-7.5997,350,162
p0125,orig,A,-0.3206,-1.3206,-4.9456,329,171
p0125,swap,B,-2.1277,-0.1277,-7.3777,329,156
p0126,orig,B,-1.9109,-0.1609,-7.4109,373,178
p0126,swap,A,-0.1614,-1.9114,-6.7864,373,164
p0130,orig,A,-0.3184,-1.4434,-3.3184,445,205
p0130,swap,A,-0.4249,-1.1749,-3.2999,445,192
p0132,orig,A,-0.2108,-1.7108,-4.7108,465,219
p0132,swap,B,-3.4091,-0.0341,-8.1591,465,206
p0133,orig,B,-2.0200,-0.1450,-6.3950,625,285
p0133,swap,A,-0.0148,-4.5148,-5.6398,625,275
p0137,orig,A,-0.0671,-2.8171,-5.3171,862,405
p0137,swap,A,-0.6950,-0.6950,-6.6950,862,389
p0138,orig,A,-0.0794,-2.5794,-8.2044,475,227
p0138,swap,B,-1.4072,-0.2822,-7.5322,475,211
p0142,orig,A,-0.4855,-0.9855,-4.4855,1292,623
p0142,swap,A,-0.2755,-1.5255,-3.7755,1292,619
p0143,orig,B,-2.5793,-0.0793,-8.8293,661,325
p0143,swap,A,-0.4299,-1.0549,-7.4299,661,306
p0145,orig,A,-0.4870,-0.9870,-4.3620,1284,625
p0145,swap,A,-0.2260,-1.7260,-3.7260,1284,615
p0146,orig,B,-1.1378,-0.3878,-7.5128,962,462
p0146,swap,A,-0.1850,-1.8100,-5.3100,962,449
p0150,orig,B,-3.2895,-0.0395,-6.9145,585,284
p0150,swap,A,-0.0587,-3.1837,-4.1837,585,269
p0152,orig,A,-0.1857,-1.8107,-5.1857,793,373
p0152,swap,A,-0.3576,-1.2326,-4.8576,793,353
p0153,orig,A,-0.0608,-3.0608,-4.4358,587,276
p0153,swap,B,-3.4107,-0.0357,-6.4107,587,262
p0156,orig,B,-0.9357,-0.5607,-3.3107,312,150
p0156,swap,A,-0.4073,-1.1573,-3.9073,312,140
p0158,orig,A,-0.5783,-0.8283,-6.4533,646,300
p0158,swap,A,-0.1301,-2.1301,-6.0051,646,289
