pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0000,orig,A,-0.4749,-0.9749,-7.5999,779,707
p0000,swap,A,-0.2028,-1.7028,-7.0778,779,291
p0001,orig,B,-1.2242,-0.3492,-7.9742,872,457
p0001,swap,A,-0.1436,-2.0186,-7.6436,872,325
p0002,orig,A,-0.6944,-0.6944,-7.3194,1119,623
p0002,swap,A,-0.2026,-1.7026,-7.2026,1119,428
p0003,orig,A,-0.0497,-3.1747,-5.0497,1537,710
p0003,swap,B,-1.9115,-0.1615,-7.4115,1537,623
p0004,orig,B,-1.6021,-0.2271,-6.9771,1316,540
p0004,swap,A,-0.1202,-2.2452,-4.9952,1316,522
p0005,orig,A,-0.4301,-1.0551,-7.0551,393,245
p0005,swap,A,-0.2827,-1.4077,-7.0327,393,155
p0006,orig,A,-0.6345,-0.7595,-7.5095,609,237
p0006,swap,A,-0.1454,-2.0204,-6.1454,609,226
p0007,orig,A,-0.4309,-1.0559,-7.1809,728,304
p0007,swap,A,-0.0908,-2.4658,-6.7158,728,267
p0008,orig,A,-0.0806,-2.5806,-6.5806,598,237
p0008,swap,B,-1.6017,-0.2267,-8.6017,598,223
p0009,orig,A,-0.0560,-2.9310,-7.3060,673,270
p0009,swap,B,-1.0570,-0.4320,-7.9320,673,252
p0010,orig,A,-0.6393,-0.7643,-5.2643,731,282
p0010,swap,A,-0.1967,-1.8217,-4.1967,731,268
p0011,orig,B,-2.5842,-0.0842,-5.5842,817,393
p0011,swap,A,-0.0598,-3.0598,-4.5598,817,301
p0012,orig,A,-0.4339,-1.0589,-5.5589,643,260
p0012,swap,A,-0.6402,-0.7652,-5.1402,643,246
p0013,orig,B,-0.9822,-0.4822,-5.2322,860,335
p0013,swap,A,-0.2170,-1.7170,-4.2170,860,322
p0014,orig,A,-0.3158,-1.3158,-6.5658,755,288
p0014,swap,A,-0.1456,-2.0206,-6.2706,755,272
p0015,orig,A,-0.4317,-1.0567,-6.0567,846,336
p0015,swap,A,-0.3177,-1.3177,-5.6927,846,320
p0016,orig,A,-0.1855,-1.8105,-5.3105,1306,532
p0016,swap,A,-0.6950,-0.6950,-6.8200,1306,516
p0017,orig,B,-1.6014,-0.2264,-7.2264,588,234
p0017,swap,A,-0.1106,-2.4856,-3.8606,588,221
p0018,orig,B,-1.1381,-0.3881,-7.1381,536,211
p0018,swap,A,-0.0844,-2.8344,-3.8344,536,197
p0019,orig,A,-0.2281,-1.6031,-6.1031,696,269
p0019,swap,A,-0.0197,-4.1447,-5.6447,696,255
p0020,orig,A,-0.0448,-3.2948,-5.0448,585,235
p0020,swap,B,-1.2248,-0.3498,-7.2248,585,221
p0021,orig,A,-0.0437,-3.5437,-4.2937,566,221
p0021,swap,B,-2.1280,-0.1280,-7.6280,566,205
