pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0000,orig,B,-19.500000,0.000000,-20.500000,779,1903
p0000,swap,A,0.000000,-21.250000,-20.375000,779,1281
p0001,orig,B,-17.500000,0.000000,-19.750000,872,1428
p0001,swap,A,-0.000000,-15.750000,-15.250000,872,1399
p0002,orig,A,-0.030287,-3.530287,-7.530287,1119,1809
p0002,swap,B,-2.350596,-0.100596,-7.850596,1119,1848
p0003,orig,A,0.000000,-19.750000,-19.250000,1537,2613
p0003,swap,B,-21.875000,0.000000,-21.625000,1537,2621
p0004,orig,B,-22.375000,0.000000,-20.500000,1316,2191
p0004,swap,A,-0.000004,-12.750004,-14.000004,1316,2187
p0005,orig,A,-0.052473,-3.052473,-5.552473,393,664
p0005,swap,B,-12.500004,-0.000004,-14.500004,393,625
p0006,orig,A,-0.001178,-6.751178,-11.751178,609,964
p0006,swap,B,-12.250005,-0.000005,-19.250004,609,972
p0007,orig,B,-21.625000,0.000000,-22.000000,728,1162
p0007,swap,A,0.000000,-19.250000,-19.750000,728,1147
p0008,orig,A,0.000000,-19.500000,-16.750000,598,956
p0008,swap,B,-23.000000,0.000000,-21.500000,598,937
p0009,orig,A,0.000000,-17.500000,-17.000000,673,1062
p0009,swap,B,-20.875000,0.000000,-21.500000,673,1061
p0010,orig,B,-20.000000,0.000000,-19.500000,731,1161
p0010,swap,A,0.000000,-18.250000,-22.750000,731,1151
p0011,orig,B,-17.500000,0.000000,-19.500000,817,1290
p0011,swap,A,-0.000004,-12.500004,-17.000004,817,1293
p0012,orig,A,-0.386902,-1.136902,-10.386902,643,1036
p0012,swap,A,-0.000097,-9.250097,-13.750097,643,1028
p0013,orig,B,-23.375000,0.000000,-23.625000,860,1366
p0013,swap,A,0.000000,-21.125000,-20.875000,860,1367
p0014,orig,B,-11.250019,-0.000019,-12.000019,755,1186
p0014,swap,A,-0.000611,-7.500611,-9.750611,755,1170
p0015,orig,A,-0.000171,-8.750172,-11.250172,846,1361
p0015,swap,B,-10.000046,-0.000045,-17.750046,846,1345
p0016,orig,A,-0.000441,-7.750441,-11.500441,1306,2161
p0016,swap,B,-21.875000,0.000000,-21.500000,1306,2158
p0017,orig,B,-13.750004,-0.000004,-12.750004,588,963
p0017,swap,A,-0.000001,-17.250002,-13.750001,588,938
p0018,orig,B,-17.750000,0.000000,-18.500000,536,849
p0018,swap,A,0.000000,-22.750000,-17.000000,536,822
p0019,orig,B,-9.250101,-0.000101,-12.250101,696,1067
p0019,swap,A,-0.000008,-17.750008,-11.750008,696,1070
p0020,orig,A,-0.000001,-17.750000,-14.000001,585,940
p0020,swap,B,-14.250001,-0.000001,-15.000001,585,955
p0021,orig,A,0.000000,-23.375000,-18.500000,566,889
p0021,swap,B,-22.000000,0.000000,-21.000000,566,874
p0022,orig,B,-21.625000,0.000000,-22.875000,511,762
p0022,swap,A,0.000000,-19.250000,-17.250000,511,759
p0023,orig,B,-1.706907,-0.206907,-5.206907,460,736
p0023,swap,B,-0.944112,-0.694112,-2.194112,460,713
p0024,orig,B,-1.139030,-0.389030,-6.139030,610,968
p0024,swap,A,-0.000165,-8.750165,-12.000165,610,967
p0025,orig,B,-5.504080,-0.004080,-13.254080,633,987
p0025,swap,A,-0.000001,-13.750001,-16.500002,633,966
p0026,orig,A,0.000000,-19.875000,-18.000000,619,949
p0026,swap,B,-17.750000,0.000000,-19.500000,619,951
p0027,orig,A,-0.000002,-22.000002,-13.000002,511,753
p0027,swap,B,-24.875000,0.000000,-19.125000,511,752
p0028,orig,B,-5.504786,-0.004785,-7.254786,1323,2220
p0028,swap,A,-0.061971,-2.811971,-12.561971,1323,2187
p0029,orig,A,-0.100248,-2.350248,-10.100247,1198,1955
p0029,swap,B,-17.750000,0.000000,-20.500000,1198,1958
p0030,orig,B,-1.703438,-0.203438,-6.203438,1292,2138
p0030,swap,B,-10.250037,-0.000038,-13.000037,1292,2142
p0031,orig,B,-17.750000,0.000000,-20.250000,531,849
p0031,swap,A,-0.000063,-10.250063,-10.500063,531,824
p0032,orig,A,-0.000000,-23.500000,-16.250000,431,669
p0032,swap,B,-25.000000,0.000000,-20.000000,431,676
p0033,orig,A,0.000000,-21.125000,-18.750000,487,755
p0033,swap,B,-22.125000,0.000000,-21.375000,487,750
p0034,orig,A,-0.000300,-8.500299,-9.250299,438,687
p0034,swap,B,-12.500004,-0.000004,-16.750004,438,692
p0035,orig,A,-0.000002,-20.750002,-13.250002,402,677
p0035,swap,B,-24.625000,0.000000,-20.000000,402,648
p0036,orig,B,-22.250000,0.000000,-22.375000,443,685
p0036,swap,A,0.000000,-25.750000,-19.750000,443,666
p0037,orig,A,-0.000096,-18.250095,-9.250096,480,745
p0037,swap,B,-10.000046,-0.000046,-14.000046,480,743
p0038,orig,B,-18.750000,0.000000,-18.000000,494,760
p0038,swap,A,-0.000002,-15.000002,-13.250002,494,753
p0039,orig,A,-0.000010,-19.125010,-11.500010,420,670
p0039,swap,B,-23.375000,-0.000000,-15.250000,420,659
p0040,orig,B,-1.323636,-0.323636,-4.573636,498,783
p0040,swap,A,-0.003385,-6.003385,-7.003385,498,772
p0041,orig,A,-0.000022,-16.375021,-10.750022,412,658
p0041,swap,B,-21.625002,-0.000001,-13.500001,412,638
p0042,orig,B,-5.505244,-0.005244,-6.755244,490,769
p0042,swap,B,-0.982917,-0.482917,-4.732917,490,758
p0043,orig,A,-0.000017,-17.250017,-11.000016,412,652
p0043,swap,B,-22.500000,-0.000000,-15.500000,412,643
p0044,orig,B,-17.500000,0.000000,-20.250000,507,764
p0044,swap,A,-0.000000,-20.625000,-14.750000,507,764
p0045,orig,A,0.000000,-20.000000,-18.000000,810,1315
p0045,swap,B,-13.250002,-0.000002,-16.000002,810,1308
p0046,orig,A,-1.022019,-1.272019,-1.022019,646,1046
p0046,swap,A,-0.012205,-6.762205,-4.512205,646,1033
p0047,orig,B,-3.288134,-0.038134,-9.288134,666,1071
p0047,swap,A,-0.012534,-4.512534,-6.512534,666,1062
p0048,orig,B,-21.000000,0.000000,-18.750000,527,834
p0048,swap,A,-0.000002,-21.250002,-13.000002,527,831
p0049,orig,B,-12.250163,-0.000163,-8.750163,460,739
p0049,swap,A,-0.160226,-13.410226,-1.910226,460,733
p0050,orig,A,-0.201436,-1.701436,-10.701436,453,732
p0050,swap,A,-0.079200,-8.079200,-2.579200,453,728
p0051,orig,A,-0.000000,-21.625000,-14.750000,659,1082
p0051,swap,B,-23.875000,0.000000,-17.500000,659,1067
p0052,orig,A,-0.001548,-10.001548,-6.501548,704,1097
p0052,swap,B,-20.000006,-0.000006,-12.000006,704,1099
p0053,orig,B,-24.375000,0.000000,-18.625000,393,643
p0053,swap,A,-0.029807,-9.779807,-3.529807,393,632
p0054,orig,B,-20.750000,0.000000,-21.375000,791,1268
p0054,swap,A,-0.000000,-19.875000,-14.750000,791,1276
