pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0002,orig,B,-4.5220,-0.0220,-4.5220,1154,1110
p0002,swap,B,-3.5523,-0.0523,-3.8023,1154,864
p0005,orig,B,-7.0010,-0.0010,-9.2510,428,323
p0005,swap,B,-6.5019,-0.0019,-7.7519,428,305
p0007,orig,B,-7.7506,-0.0006,-8.7506,763,546
p0007,swap,B,-1.8690,-0.3690,-1.8690,763,530
p0012,orig,B,-6.5016,-0.0016,-9.5016,678,508
p0012,swap,B,-4.5112,-0.0112,-8.7612,678,486
p0013,orig,B,-12.2500,-0.0000,-12.0000,895,645
p0013,swap,C,-6.7514,-8.5014,-0.0014,895,630
p0015,orig,B,-5.0153,-0.0153,-4.7653,881,642
p0015,swap,B,-3.0591,-0.0591,-4.5591,881,631
p0021,orig,B,-4.0360,-0.0360,-4.0360,601,458
p0021,swap,B,-12.2500,-0.0000,-13.7500,601,439
p0024,orig,B,-5.0068,-0.0068,-9.2568,645,501
p0024,swap,B,-2.3516,-0.1016,-6.6016,645,480
p0026,orig,A,-0.3151,-1.3151,-6.3151,654,504
p0026,swap,B,-7.0009,-0.0009,-12.0009,654,506
p0030,orig,A,-0.8693,-1.3693,-1.1193,1327,1166
p0030,swap,B,-2.8703,-0.1203,-2.8703,1327,1209
p0040,orig,B,-3.5586,-0.0586,-3.5586,533,476
p0040,swap,C,-3.6035,-0.8535,-0.6035,533,451
p0042,orig,B,-2.8715,-0.3715,-1.3715,525,450
p0042,swap,B,-2.6493,-0.6493,-0.8993,525,435
p0045,orig,A,-0.0013,-7.0013,-7.7513,845,727
p0045,swap,B,-6.7513,-0.0013,-9.0013,845,724
p0049,orig,B,-9.0005,-0.0005,-8.0005,495,414
p0049,swap,C,-2.5797,-7.0797,-0.0797,495,400
p0050,orig,B,-9.7504,-0.0004,-8.0004,488,405
p0050,swap,A,-0.0669,-5.3169,-2.8169,488,426
p0059,orig,B,-9.7503,-0.0003,-8.2503,455,435
p0059,swap,B,-2.8131,-0.0631,-6.8131,455,399
p0060,orig,B,-10.2500,-0.0000,-14.0000,413,356
p0060,swap,A,-0.1604,-1.9104,-8.6604,413,341
p0061,orig,C,-3.5900,-2.8400,-0.0900,446,395
p0061,swap,B,-14.5000,-0.0000,-12.7500,446,367
p0064,orig,C,-4.5142,-5.7642,-0.0142,596,511
p0064,swap,B,-12.0000,-0.0000,-15.6250,596,502
p0068,orig,B,-2.2395,-0.2395,-2.2395,588,526
p0068,swap,B,-6.0026,-0.0026,-8.7526,588,495
p0070,orig,C,-1.3412,-3.5912,-0.3412,1050,922
p0070,swap,B,-9.7502,-0.0002,-8.7502,1050,920
p0076,orig,C,-4.5724,-2.8224,-0.0724,666,577
p0076,swap,C,-5.0683,-2.8183,-0.0683,666,557
p0092,orig,C,-0.9191,-2.4191,-0.6691,388,350
p0092,swap,B,-7.7519,-0.0019,-6.5019,388,332
p0099,orig,C,-8.5004,-8.5004,-0.0004,660,558
p0099,swap,C,-16.3750,-11.8750,-0.0000,660,549
p0100,orig,A,-0.3715,-1.3715,-2.8715,767,633
p0100,swap,A,-0.5550,-1.0550,-2.5550,767,625
