pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0002,orig,B,-0.8270,-0.5770,-7.3270,1076,1797
p0002,swap,A,-0.1804,-1.8054,-7.5554,1076,453
p0005,orig,A,-0.4303,-1.0553,-6.8053,350,211
p0005,swap,A,-0.2268,-1.6018,-7.1018,350,163
p0007,orig,A,-0.3888,-1.1388,-7.5138,685,314
p0007,swap,A,-0.0565,-2.9315,-6.6815,685,282
p0012,orig,A,-0.4328,-1.0578,-5.8078,600,276
p0012,swap,A,-0.5297,-0.9047,-5.2797,600,256
p0013,orig,B,-1.0620,-0.4370,-5.1870,817,364
p0013,swap,A,-0.2211,-1.7211,-3.9711,817,342
p0015,orig,A,-0.2843,-1.4093,-6.0343,803,357
p0015,swap,A,-0.2297,-1.6047,-5.7297,803,335
p0021,orig,A,-0.0551,-3.1801,-4.4301,523,248
p0021,swap,B,-2.6956,-0.0706,-8.0706,523,228
p0024,orig,A,-0.3505,-1.2255,-6.3505,567,251
p0024,swap,A,-0.1276,-2.1276,-7.5026,567,239
p0026,orig,A,-0.0130,-4.3880,-7.7630,576,254
p0026,swap,B,-0.9749,-0.4749,-7.5999,576,238
p0030,orig,A,-0.0564,-2.9314,-6.6814,1249,624
p0030,swap,A,-0.1153,-2.2403,-6.1153,1249,612
p0040,orig,A,-0.0202,-4.0202,-6.3952,455,264
p0040,swap,B,-1.8058,-0.1808,-8.1808,455,249
p0042,orig,A,-0.2853,-1.4103,-6.4103,447,251
p0042,swap,A,-0.5256,-0.9006,-7.1506,447,247
p0045,orig,A,-0.0246,-3.7746,-6.7746,767,432
p0045,swap,B,-0.9000,-0.5250,-6.7750,767,439
p0049,orig,B,-2.1282,-0.1282,-7.2532,417,292
p0049,swap,B,-1.9213,-0.1713,-4.5463,417,281
p0050,orig,B,-3.4091,-0.0341,-9.2841,410,287
p0050,swap,A,-0.6969,-0.6969,-5.6969,410,275
p0059,orig,B,-3.7736,-0.0236,-8.7736,377,257
p0059,swap,A,-0.6941,-0.6941,-7.1941,377,235
p0060,orig,A,-0.3153,-1.3153,-6.4403,335,245
p0060,swap,B,-1.9111,-0.1611,-7.4111,335,222
p0061,orig,A,-0.5810,-0.8310,-5.3310,368,394
p0061,swap,B,-1.7022,-0.2022,-7.4522,368,222
p0064,orig,B,-2.3515,-0.1015,-6.8515,518,325
p0064,swap,A,-0.0523,-3.0523,-5.6773,518,324
p0068,orig,A,-0.0354,-3.4104,-6.4104,510,314
p0068,swap,B,-1.3140,-0.3140,-7.6890,510,297
p0070,orig,A,-0.0907,-2.4657,-6.4657,972,606
p0070,swap,A,-0.1279,-2.1279,-7.1279,972,597
p0076,orig,A,-0.0574,-2.9324,-6.0574,588,376
p0076,swap,B,-3.1690,-0.0440,-8.5440,588,353
p0092,orig,B,-1.0567,-0.4317,-8.1817,310,213
p0092,swap,A,-0.1147,-2.2397,-6.8647,310,191
p0099,orig,A,-0.2373,-1.7373,-3.3623,582,355
p0099,swap,B,-1.6033,-0.2283,-5.9783,582,346
p0100,orig,B,-0.9765,-0.4765,-6.3515,689,412
p0100,swap,A,-0.0774,-2.7024,-4.9524,689,395
p0103,orig,B,-2.9302,-0.0552,-10.3052,233,190
p0103,swap,A,-0.6935,-0.6935,-8.6935,233,149
p0104,orig,A,-0.4748,-0.9748,-7.7248,219,168
p0104,swap,B,-3.7736,-0.0236,-10.1486,219,149
p0108,orig,A,-0.5829,-0.8329,-5.0829,730,427
p0108,swap,A,-0.0169,-4.2668,-6.0168,730,423
p0110,orig,A,-0.0424,-3.5424,-4.4174,462,298
p0110,swap,B,-0.9839,-0.4839,-4.7339,462,273
p0111,orig,A,-0.1201,-2.4951,-3.4951,730,424
p0111,swap,B,-0.8367,-0.5867,-4.5867,730,418
p0112,orig,A,-0.0269,-4.0269,-4.7769,317,211
p0112,swap,B,-1.7095,-0.2095,-4.9595,317,192
p0113,orig,A,-0.0045,-5.5045,-8.8795,321,227
p0113,swap,B,-3.5304,-0.0304,-8.4054,321,211
p0114,orig,B,-4.2646,-0.0146,-9.1396,337,236
p0114,swap,A,-0.0025,-6.1275,-9.1275,337,209
p0117,orig,A,-0.0171,-4.5171,-5.1421,254,164
p0117,swap,B,-4.8828,-0.0078,-9.0078,254,152
p0118,orig,A,-0.2040,-1.7040,-6.0790,268,185
p0118,swap,B,-4.0184,-0.0184,-8.8934,268,170
p0120,orig,A,-0.1454,-2.0204,-6.0204,234,164
p0120,swap,B,-3.6517,-0.0267,-8.1517,234,148
p0122,orig,B,-4.5113,-0.0113,-9.1363,241,168
p0122,swap,A,-0.0403,-3.6653,-4.2903,241,152
p0123,orig,B,-1.5028,-0.2528,-7.5028,354,231
p0123,swap,A,-0.6950,-0.6950,-6.4450,354,217
p0124,orig,B,-1.3147,-0.3147,-6.8147,272,195
p0124,swap,A,-0.3874,-1.1374,-8.0124,272,167
p0125,orig,A,-0.2563,-1.5063,-5.5063,251,174
p0125,swap,B,-2.1278,-0.1278,-7.3778,251,150
p0126,orig,B,-2.5795,-0.0795,-8.2045,295,208
p0126,swap,A,-0.1608,-1.9108,-7.6608,295,182
p0130,orig,A,-0.3656,-1.3656,-2.9906,367,243
p0130,swap,A,-0.3836,-1.2586,-3.3836,367,214
p0132,orig,A,-0.1083,-2.3583,-4.8583,387,265
p0132,swap,B,-2.9311,-0.0561,-6.9311,387,237
p0133,orig,B,-2.1292,-0.1292,-6.3792,547,327
p0133,swap,A,-0.0115,-4.7615,-5.8865,547,310
p0137,orig,A,-0.0646,-2.9396,-4.6896,784,1093
