pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0002,orig,B,-4.7601,-0.0101,-6.5101,1076,977
p0002,swap,B,-3.0659,-0.0659,-4.0659,1076,766
p0005,orig,B,-6.0026,-0.0026,-9.2526,350,278
p0005,swap,B,-5.5048,-0.0048,-7.2548,350,264
p0007,orig,B,-8.0004,-0.0004,-10.2504,685,495
p0007,swap,A,-0.1429,-2.1429,-4.1429,685,492
p0012,orig,B,-6.7512,-0.0012,-10.5012,600,476
p0012,swap,B,-4.7587,-0.0087,-9.7587,600,494
p0013,orig,B,-13.2500,-0.0000,-11.0000,817,701
p0013,swap,C,-7.7507,-8.2507,-0.0007,817,703
p0015,orig,B,-4.2781,-0.0281,-4.2781,803,713
p0015,swap,B,-1.5399,-0.2899,-3.2899,803,705
p0021,orig,A,-0.7445,-0.7445,-2.9945,523,468
p0021,swap,B,-13.5000,-0.0000,-14.7500,523,450
p0024,orig,B,-4.7587,-0.0087,-9.2587,567,486
p0024,swap,A,-0.1286,-2.1286,-6.3786,567,474
p0026,orig,A,-0.0500,-3.0500,-6.5500,576,482
p0026,swap,B,-8.7502,-0.0002,-12.7502,576,471
p0030,orig,A,-0.2133,-1.9633,-2.9633,1249,1380
p0030,swap,B,-1.9356,-0.1856,-3.6856,1249,1496
p0040,orig,B,-3.7840,-0.0340,-4.5340,455,542
p0040,swap,B,-3.7751,-0.2751,-1.5251,455,444
p0042,orig,B,-3.1443,-0.1443,-2.3943,447,405
p0042,swap,B,-2.6375,-0.3875,-1.3875,447,380
p0045,orig,A,-0.0007,-7.5007,-8.7507,767,655
p0045,swap,B,-7.2508,-0.0008,-9.7508,767,671
p0049,orig,B,-8.7502,-0.0002,-10.2502,417,419
p0049,swap,C,-0.9761,-6.2261,-0.4761,417,389
p0050,orig,B,-7.7510,-0.0010,-7.5010,410,386
p0050,swap,A,-0.0525,-5.5525,-3.0525,410,363
p0059,orig,B,-9.0002,-0.0002,-9.2502,377,334
p0059,swap,A,-0.1297,-2.1297,-5.8797,377,317
p0060,orig,B,-8.5002,-0.0002,-13.5002,335,318
p0060,swap,A,-0.0041,-5.5041,-10.2541,335,310
p0061,orig,C,-4.0360,-4.0360,-0.0360,368,342
p0061,swap,B,-12.2500,-0.0000,-12.2500,368,333
p0064,orig,C,-6.0028,-8.0028,-0.0028,518,472
p0064,swap,B,-11.0000,-0.0000,-15.0000,518,451
p0068,orig,B,-2.3630,-0.1130,-4.3630,510,503
p0068,swap,B,-5.5042,-0.0042,-9.2542,510,495
p0070,orig,C,-1.1803,-1.6803,-0.6803,972,1048
p0070,swap,B,-8.0005,-0.0005,-8.7505,972,893
p0076,orig,B,-5.1660,-0.1660,-1.9160,588,515
p0076,swap,B,-3.8351,-0.3351,-1.3351,588,495
p0092,orig,B,-5.5151,-0.0151,-4.5151,310,276
p0092,swap,B,-7.5037,-0.0037,-5.7537,310,262
