pair_id,order,gen_text,gen_verdict
p0000,orig,"A",A
p0000,swap,"A",A
p0001,orig,"A",A
p0001,swap,"A",A
p0002,orig,"A",A
p0002,swap,"A",A
p0003,orig,"A",A
p0003,swap,"A",A
p0004,orig,"A",A
p0004,swap,"A",A
p0005,orig,"A",A
p0005,swap,"A",A
p0006,orig,"A",A
p0006,swap,"A",A
p0007,orig,"A",A
p0007,swap,"A",A
p0008,orig,"A",A
p0008,swap,"A",A
p0009,orig,"A",A
p0009,swap,"A",A
p0010,orig,"A",A
p0010,swap,"A",A
p0011,orig,"A",A
p0011,swap,"A",A
p0012,orig,"A",A
p0012,swap,"A",A
p0013,orig,"A",A
p0013,swap,"A",A
p0014,orig,"A",A
p0014,swap,"A",A
p0015,orig,"A",A
p0015,swap,"A",A
p0016,orig,"A",A
p0016,swap,"A",A
p0017,orig,"A",A
p0017,swap,"A",A
p0018,orig,"C",C
p0018,swap,"A",A
p0019,orig,"A",A
p0019,swap,"A",A
p0020,orig,"A",A
p0020,swap,"A",A
p0021,orig,"A",A
p0021,swap,"C",C
p0022,orig,"A",A
p0022,swap,"A",A
p0023,orig,"C",C
p0023,swap,"A",A
p0024,orig,"A",A
p0024,swap,"A",A
p0025,orig,"A",A
p0025,swap,"A",A
p0026,orig,"A",A
p0026,swap,"A",A
p0027,orig,"A",A
p0027,swap,"A",A
p0028,orig,"A",A
p0028,swap,"A",A
p0029,orig,"A",A
p0029,swap,"A",A
p0030,orig,"A",A
p0030,swap,"A",A
p0031,orig,"A",A
p0031,swap,"A",A
p0032,orig,"A",A
p0032,swap,"A",A
p0033,orig,"A",A
p0033,swap,"A",A
p0034,orig,"A",A
p0034,swap,"A",A
p0035,orig,"A",A
p0035,swap,"A",A
p0036,orig,"A",A
p0036,swap,"A",A
p0037,orig,"A",A
p0037,swap,"A",A
p0038,orig,"A",A
p0038,swap,"A",A
p0039,orig,"A",A
p0039,swap,"A",A
p0040,orig,"A",A
p0040,swap,"A",A
p0041,orig,"A",A
p0041,swap,"A",A
p0042,orig,"A",A
p0042,swap,"A",A
p0043,orig,"A",A
p0043,swap,"A",A
p0044,orig,"A",A
p0044,swap,"A",A
p0045,orig,"A",A
p0045,swap,"A",A
p0046,orig,"A",A
p0046,swap,"A",A
p0047,orig,"A",A
p0047,swap,"A",A
p0048,orig,"A",A
p0048,swap,"A",A
p0049,orig,"A",A
p0049,swap,"A",A
p0050,orig,"A",A
p0050,swap,"A",A
p0051,orig,"A",A
p0051,swap,"A",A
p0052,orig,"A",A
p0052,swap,"C",C
p0053,orig,"C",C
p0053,swap,"A",A
p0054,orig,"A",A
p0054,swap,"A",A
p0055,orig,"A",A
p0055,swap,"A",A
p0056,orig,"A",A
p0056,swap,"A",A
p0057,orig,"A",A
p0057,swap,"A",A
p0058,orig,"A",A
p0058,swap,"A",A
p0059,orig,"A",A
p0059,swap,"A",A
