pair_id,order,gen_text,gen_verdict
p0000,orig,"B",B
p0000,swap,"A",A
p0001,orig,"B",B
p0001,swap,"B",B
p0002,orig,"B",B
p0002,swap,"B",B
p0003,orig,"B",B
p0003,swap,"B",B
p0004,orig,"B",B
p0004,swap,"C",C
p0005,orig,"B",B
p0005,swap,"B",B
p0006,orig,"B",B
p0006,swap,"B",B
p0007,orig,"B",B
p0007,swap,"A",A
p0008,orig,"B",B
p0008,swap,"B",B
p0009,orig,"A",A
p0009,swap,"B",B
p0010,orig,"B",B
p0010,swap,"B",B
p0011,orig,"B",B
p0011,swap,"C",C
p0012,orig,"B",B
p0012,swap,"B",B
p0013,orig,"B",B
p0013,swap,"C",C
p0014,orig,"B",B
p0014,swap,"A",A
p0015,orig,"B",B
p0015,swap,"B",B
p0016,orig,"B",B
p0016,swap,"B",B
p0017,orig,"B",B
p0017,swap,"C",C
p0018,orig,"B",B
p0018,swap,"A",A
p0019,orig,"B",B
p0019,swap,"A",A
p0020,orig,"A",A
p0020,swap,"B",B
p0021,orig,"B",B
p0021,swap,"B",B
p0022,orig,"B",B
p0022,swap,"A",A
p0023,orig,"A",A
p0023,swap,"B",B
p0024,orig,"B",B
p0024,swap,"B",B
p0025,orig,"B",B
p0025,swap,"A",A
p0026,orig,"A",A
p0026,swap,"B",B
p0027,orig,"C",C
p0027,swap,"C",C
p0028,orig,"B",B
p0028,swap,"A",A
p0029,orig,"A",A
p0029,swap,"B",B
p0030,orig,"A",A
p0030,swap,"B",B
p0031,orig,"B",B
p0031,swap,"A",A
p0032,orig,"C",C
p0032,swap,"C",C
p0033,orig,"A",A
p0033,swap,"B",B
p0034,orig,"A",A
p0034,swap,"B",B
p0035,orig,"C",C
p0035,swap,"C",C
p0036,orig,"B",B
p0036,swap,"A",A
p0037,orig,"B",B
p0037,swap,"B",B
p0038,orig,"B",B
p0038,swap,"C",C
p0039,orig,"C",C
p0039,swap,"C",C
p0040,orig,"B",B
p0040,swap,"B",B
p0041,orig,"C",C
p0041,swap,"C",C
p0042,orig,"B",B
p0042,swap,"C",C
p0043,orig,"C",C
p0043,swap,"C",C
p0044,orig,"B",B
p0044,swap,"A",A
p0045,orig,"A",A
p0045,swap,"B",B
p0046,orig,"B",B
p0046,swap,"A",A
p0047,orig,"B",B
p0047,swap,"A",A
p0048,orig,"B",B
p0048,swap,"C",C
p0049,orig,"B",B
p0049,swap,"C",C
p0050,orig,"B",B
p0050,swap,"A",A
p0051,orig,"C",C
p0051,swap,"B",B
p0052,orig,"B",B
p0052,swap,"B",B
p0053,orig,"B",B
p0053,swap,"A",A
p0054,orig,"B",B
p0054,swap,"A",A
p0055,orig,"B",B
p0055,swap,"A",A
p0056,orig,"B",B
p0056,swap,"A",A
p0057,orig,"C",C
p0057,swap,"C",C
p0058,orig,"C",C
p0058,swap,"C",C
p0059,orig,"B",B
p0059,swap,"B",B
